age_head,sex_head,edu_group,marital_head,household_size,urban,region,consumption_pc,consumption_per_member,nonfood_share,welfare_ratio,age_group,hh_size_group,education_head,target,welfare_pc,hpline,spline,wgt
15.0,0.0,0,,1.0,0.0,4,14671.424479166666,176057.09375,1.0,5.796170321748151,0.0,0.0,1.0,2,177429.21875,30611.45703125,40558.76171875,9108.68303225013
15.0,0.0,0,,3.0,0.0,3,6143.663628472223,73723.96354166667,1.0,2.735377238888677,0.0,1.0,1.0,2,83733.8828125,30611.45703125,41684.78515625,524.372749416039
15.0,0.0,0,,7.0,0.0,1,5847.358630952381,70168.30357142857,1.0,2.88627356000415,0.0,2.0,1.0,2,88353.0390625,30611.45703125,42584.00390625,5050.7517200389
15.0,0.0,0,,4.0,0.0,3,2968.2483723958335,35618.98046875,1.0,1.6667263444178695,0.0,1.0,1.0,2,51020.921875,30611.45703125,41684.78515625,5243.72750664097
15.0,1.0,0,,1.0,0.0,2,8516.371744791666,102196.4609375,1.0,3.8653511699625334,0.0,0.0,1.0,2,118324.03125,30611.45703125,41245.17578125,807.458881615034
15.0,1.0,0,,4.0,0.0,1,5472.805989583333,65673.671875,1.0,2.7347004089691196,0.0,1.0,1.0,2,83713.1640625,30611.45703125,42584.00390625,1010.15031048242
15.0,1.0,0,,5.0,0.0,3,9583.679166666667,115004.15,1.0,4.515214062136917,0.0,1.0,1.0,2,138217.28125,30611.45703125,41684.78515625,2621.86374708019
15.0,0.0,0,,5.0,0.0,4,8090.436979166667,97085.24375,1.0,3.655131165784665,0.0,1.0,1.0,2,111888.890625,30611.45703125,40558.76171875,1301.24054141752
15.0,0.0,0,,6.0,0.0,3,4034.577690972222,48414.932291666664,1.0,1.9594945877213814,0.0,2.0,1.0,2,59982.984375,30611.45703125,41684.78515625,1747.90921438073
15.0,0.0,0,,6.0,0.0,3,2282.4483506944443,27389.380208333332,1.0,1.2879349834933382,0.0,2.0,1.0,1,39425.56640625,30611.45703125,41684.78515625,524.372712170588
15.0,0.0,0,,3.0,0.0,3,4452.346354166667,53428.15625,1.0,1.917093694367139,0.0,1.0,1.0,2,58685.03125,30611.45703125,41684.78515625,5243.72749416039
15.0,0.0,0,,4.0,0.0,4,5249.600260416667,62995.203125,1.0,2.435116141283397,0.0,1.0,1.0,2,74542.453125,30611.45703125,40558.76171875,4554.34151612507
15.0,0.0,0,,5.0,0.0,3,4816.405208333334,57796.8625,1.0,2.7604038673734927,0.0,1.0,1.0,2,84499.984375,30611.45703125,41684.78515625,655.465936770049
15.0,0.0,0,,5.0,0.0,3,5328.050520833333,63936.60625,1.0,2.9121462258884128,0.0,1.0,2.0,2,89145.0390625,30611.45703125,41684.78515625,1075.90649951912
15.0,0.0,0,16.0,9.0,0.0,4,3039.736400462963,36476.836805555555,1.0,1.3399050319828933,0.0,3.0,1.0,2,41016.4453125,30611.45703125,40558.76171875,910.868272918113
15.0,0.0,0,,6.0,0.0,4,6854.473524305556,82253.68229166667,1.0,3.6601568576307915,0.0,2.0,1.0,2,112042.734375,30611.45703125,40558.76171875,910.868272918113
15.0,0.0,0,,1.0,0.0,4,13005.484375,156065.8125,1.0,5.138014986984678,0.0,0.0,1.0,2,157282.125,30611.45703125,40558.76171875,1821.73669737073
15.0,1.0,0,,7.0,0.0,1,6368.711309523809,76424.53571428571,1.0,2.9618490727978815,0.0,2.0,1.0,2,90666.515625,30611.45703125,42584.00390625,10101.5034400778
15.0,0.0,0,,5.0,0.0,2,3268.9997395833334,39227.996875,1.0,1.5817627514616477,0.0,1.0,1.0,2,48420.0625,30611.45703125,41245.17578125,807.458881615034
15.0,0.0,0,,5.0,0.0,4,4193.402864583333,50320.834375,1.0,2.373274252785001,0.0,1.0,1.0,2,72649.3828125,30611.45703125,40558.76171875,7536.83317118736
15.0,0.0,0,,4.0,1.0,1,4017.607421875,48211.2890625,1.0,2.1950929065187372,0.0,1.0,1.0,2,67194.9921875,30611.45703125,46233.65234375,7810.1511994899
15.0,1.0,0,,5.0,1.0,1,3155.015104166667,37860.18125,1.0,1.5027188681525363,0.0,1.0,1.0,1,46000.4140625,30611.45703125,46233.65234375,650.845868489066
15.0,0.0,0,,10.0,0.0,2,2620.2447916666665,31442.9375,1.0,1.4895190258243027,0.0,3.0,1.0,2,45596.34765625,30611.45703125,41245.17578125,888.204830606281
15.0,0.0,0,,8.0,0.0,3,1342.494873046875,16109.9384765625,1.0,0.6508093566376866,0.0,2.0,1.0,0,19922.22265625,30611.45703125,41684.78515625,1310.9318735401
15.0,0.0,0,,5.0,0.0,4,1798.5661458333334,21582.79375,1.0,1.1734636988066023,0.0,1.0,1.0,1,35921.43359375,30611.45703125,40558.76171875,3036.22767741671
